__UBIGEO__,__NOMBRE__,mean
230401,TARATA,-4.561075776815414
210502,CAPAZO,-4.560060642861031
210504,SANTA ROSA,-4.197036080739715
230406,SUSAPAYA,-4.182687791911039
040514,SAN ANTONIO DE CHUCA,-4.096958591387822
080802,CONDOROMA,-3.8555247717433505
230408,TICACO,-3.745631830258803
210707,PARATIA,-3.724840971139761
230201,CANDARAVE,-3.7154009523599045
180102,CARUMAS,-3.0530626804013794
040119,SAN JUAN DE TARUCANI,-3.0424901455640794
211002,ANANEA,-2.997432943433523
210302,AJOYANI,-2.931317375256465
210405,PISACOMA,-2.9052988841678156
040518,TUTI,-2.8557141167776927
